I:\InterSystems\HealthShare\mgr\logs\pButtons\20170103_000100_24hours_30sec_7.log,MGSTATv2.9a,wdcycle=40^10^80^4,globalbuffers=24000MB:0^0^24000^0^0^0,routinebuffers=1021MB:0^127^0^383^0^511,numberofcpus=8:x86^2^8,productversion=Cache for Windows (x86-64) 2015.2 (Build 664_3_16515U) Thu Jul 14 2016 13:11:41 EDT
Date,       Time    ,  Glorefs, RemGrefs, GRratio,  PhyRds, Rdratio, Gloupds, RemGupds, Rourefs, RemRrefs,  RouLaS, RemRLaS,  PhyWrs,   WDQsz,  WDtmpq, WDphase,  WIJwri,  RouCMs, Jrnwrts,  ActECP,  Addblk, PrgBufL, PrgSrvR,  BytSnt,  BytRcd,  WDpass,  IJUcnt, IJULock
01/03/2017, 00:07:40,   400081,        0,       0,       0,       0,   19881,        0,   44522,        0,      10,       0,       0,    2688,       0,       0,       0,       8,      22,       0,       0,       0,       0,       0,       0,    1347,       0,       0
01/03/2017, 00:07:50,   403127,        0,       0,       3,69217.67,   20920,        0,   43468,        0,      15,       0,       0,    3614,       0,       0,       0,      12,      23,       0,       0,       0,       0,       0,       0,    1347,       0,       0
01/03/2017, 00:08:00,   224934,        0,       0,       2, 57556.5,   13262,        0,   20117,        0,       1,       0,       0,    4100,       0,       0,       0,       2,      15,       0,       0,       0,       0,       0,       0,    1347,       0,       0
01/03/2017, 00:08:10,    24274,        0,       0,       0,       0,     984,        0,    6605,        0,      26,       0,       0,    4284,       0,       0,       0,      10,       0,       0,       0,       0,       0,       0,       0,    1347,       0,       0
01/03/2017, 00:08:20,    44100,        0,       0,       0,       0,     330,        0,    7811,        0,       3,       0,       0,    4352,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1347,       0,       0
01/03/2017, 00:08:30,   196974,        0,       0,       0,       0,    2331,        0,   13887,        0,       5,       0,       0,    4527,       0,       0,       0,       7,       0,       0,       0,       0,       0,       0,       0,    1347,       0,       0
01/03/2017, 00:08:40,   121707,        0,       0,      13, 3451.23,    2969,        0,   23290,        0,       8,       0,     486,      28,       0,       0,      16,      11,       0,       0,       0,       0,       0,       0,       0,    1350,       0,       0
01/03/2017, 00:08:50,    22935,        0,       0,       0,       0,     324,        0,    4413,        0,       1,       0,       9,      26,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,    1351,       0,       0
01/03/2017, 00:09:00,    93825,        0,       0,       0,       0,     860,        0,   17109,        0,      31,       0,       0,     317,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1351,       0,       0
01/03/2017, 00:09:10,    81186,        0,       0,       2, 19933.5,    3122,        0,   20111,        0,       7,       0,       0,     394,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,    1351,       0,       0
